psyr	Pseudomonas syringae CC1557
psb	Pseudomonas syringae pv. syringae B728a
pst	Pseudomonas syringae pv. tomato DC3000
ptv	Pseudomonas trivialis
phi	Pseudopodoces humilis (Tibetan ground-tit)
psd	Pseudoxanthomonas spadix
psu	Pseudoxanthomonas suwonensis 11-1
psuw	Pseudoxanthomonas suwonensis J1
pali	Psychrobacter alimentarius
par	Psychrobacter arcticus
pcr	Psychrobacter cryohalolentis
pso	Psychrobacter sp. G
psyg	Psychrobacter sp. P11G5
pspg	Psychrobacter sp. P2G3
prw	Psychrobacter sp. PRwf-1
pur	Psychrobacter urativorans
pale	Pteropus alecto (black flying fox)
pgr	Puccinia graminis
psq	Punctularia strigosozonata
pte	Pyrenophora teres
pxb	Pyrus x bretschneideri (Chinese white pear)
pbi	Python bivittatus (Burmese python)
raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
raa	Rahnella aquatilis HX2
rah	Rahnella sp. Y9602
ror	Raoultella ornithinolytica B6
ron	Raoultella ornithinolytica S12
rno	Rattus norvegicus (rat)
rro	Rhinopithecus roxellana (golden snub-nosed monkey)
rhd	Rhodanobacter denitrificans
rcu	Ricinus communis (castor bean)
sko	Saccoglossus kowalevskii (acorn worm)
sbq	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
sasa	Salmo salar (Atlantic salmon)
sbz	Salmonella bongori N268-08
sbg	Salmonella bongori NCTC 12419
sbv	Salmonella bongori serovar 48:z41:--
ses	Salmonella enterica subsp. arizonae
seen	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736
sens	Salmonella enterica subsp. enterica serovar Agona 24249
sea	Salmonella enterica subsp. enterica serovar Agona SL483
seeb	Salmonella enterica subsp. enterica serovar Bareilly
senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
sec	Salmonella enterica subsp. enterica serovar Choleraesuis
seec	Salmonella enterica subsp. enterica Serovar Cubana
sed	Salmonella enterica subsp. enterica serovar Dublin
sena	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
seno	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
senv	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
senq	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
senl	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
set	Salmonella enterica subsp. enterica serovar Enteritidis P125109
seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
senh	Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069
seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
senj	Salmonella enterica subsp. enterica serovar Javiana
see	Salmonella enterica subsp. enterica serovar Newport SL254
senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
spq	Salmonella enterica subsp. enterica serovar Paratyphi B
sei	Salmonella enterica subsp. enterica serovar Paratyphi C
seep	Salmonella enterica subsp. enterica serovar Pullorum
sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
senc	Salmonella enterica subsp. enterica serovar Tennessee
sene	Salmonella enterica subsp. enterica serovar Thompson
sty	Salmonella enterica subsp. enterica serovar Typhi CT18
sex	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
stt	Salmonella enterica subsp. enterica serovar Typhi Ty2
sent	Salmonella enterica subsp. enterica serovar Typhi Ty21a
seni	Salmonella enterica subsp. enterica serovar Typhimurium 138736
seo	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
sev	Salmonella enterica subsp. enterica serovar Typhimurium D23580
send	Salmonella enterica subsp. enterica serovar Typhimurium DT104
senr	Salmonella enterica subsp. enterica serovar Typhimurium DT2
stm	Salmonella enterica subsp. enterica serovar Typhimurium LT2
sey	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
sem	Salmonella enterica subsp. enterica serovar Typhimurium T000240
setu	Salmonella enterica subsp. enterica serovar Typhimurium U288
sej	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
setc	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
sre	Salpingoeca rosetta
spar	Saprolegnia parasitica
shr	Sarcophilus harrisii (Tasmanian devil)
pic	Scheffersomyces stipitis
smm	Schistosoma mansoni
scm	Schizophyllum commune
spo	Schizosaccharomyces pombe (fission yeast)
ssl	Sclerotinia sclerotiorum
sect	Secondary endosymbiont of Ctenarytaina eucalypti
sehc	Secondary endosymbiont of Heteropsylla cubana
smo	Selaginella moellendorffii
sla	Serpula lacrymans
sfw	Serratia fonticola
slq	Serratia liquefaciens
smaf	Serratia marcescens FGI94
smar	Serratia marcescens SM39
smac	Serratia marcescens subsp. marcescens Db11
smw	Serratia marcescens WW4
srl	Serratia plymuthica 4Rx13
srr	Serratia plymuthica AS9
sry	Serratia plymuthica S13
spe	Serratia proteamaculans
srz	Serratia rubidaea
srs	Serratia sp. AS12
sra	Serratia sp. AS13
serr	Serratia sp. ATCC 39006
serf	Serratia sp. FS14
sers	Serratia sp. SCBI
ssz	Serratia symbiotica
sind	Sesamum indicum (sesame)
sita	Setaria italica (foxtail millet)
sbc	Shigella boydii CDC 3083-94
sbo	Shigella boydii Sb227
sdz	Shigella dysenteriae 1617
sdy	Shigella dysenteriae Sd197
sfe	Shigella flexneri 2002017 (serotype Fxv)
sfn	Shigella flexneri 2003036
sfx	Shigella flexneri 2457T (serotype 2a)
sfl	Shigella flexneri 301 (serotype 2a)
sfv	Shigella flexneri 8401 (serotype 5b)
sft	Shigella flexneri NCTC1
sfs	Shigella flexneri Shi06HN006 (serotype Yv)
ssj	Shigella sonnei 53G
ssn	Shigella sonnei Ss046
shq	Shigella sp. PAMC 28760
ebt	Shimwellia blattae
sgl	Sodalis glossinidius (Glossina spp.)
sod	Sodalis praecaptivus
sly	Solanum lycopersicum (tomato)
spen	Solanum pennellii
sot	Solanum tuberosum (potato)
soc	Solenopsis invicta (red fire ant)
smp	Sordaria macrospora
sbi	Sorghum bicolor (sorghum)
spaa	Spathaspora passalidarum
sacz	Stenotrophomonas acidaminiphila
smz	Stenotrophomonas maltophilia D457
buj	Stenotrophomonas maltophilia JV3
sml	Stenotrophomonas maltophilia K279a
smt	Stenotrophomonas maltophilia R551-3
stek	Stenotrophomonas sp. KCTC 12332
shs	Stereum hirsutum
spu	Strongylocentrotus purpuratus (purple sea urchin)
ssc	Sus scrofa (pig)
smin	Symbiodinium minutum
tgu	Taeniopygia guttata (zebra finch)
tru	Takifugu rubripes (torafugu)
thj	Tarenaya hassleriana (spider flower)
tet	Tetrahymena thermophila
tng	Tetraodon nigroviridis (spotted green pufferfish)
tbl	Tetrapisispora blattae
tpf	Tetrapisispora phaffii
tps	Thalassiosira pseudonana
tan	Theileria annulata
beq	Theileria equi
tot	Theileria orientalis
tpv	Theileria parva
tcc	Theobroma cacao (cacao)
ttt	Thielavia terrestris
tdl	Torulaspora delbrueckii
tgo	Toxoplasma gondii
tms	Tremella mesenterica
tca	Tribolium castaneum (red flour beetle)
tsp	Trichinella spiralis
tre	Trichoderma reesei
tva	Trichomonas vaginalis
tve	Trichophyton verrucosum
tad	Trichoplax adhaerens
tbr	Trypanosoma brucei
tcr	Trypanosoma cruzi
tml	Tuber melanosporum
tup	Tupaia chinensis (Chinese tree shrew)
ure	Uncinocarpus reesii
umr	Ursus maritimus (polar bear)
uma	Ustilago maydis
vpo	Vanderwaltozyma polyspora
val	Verticillium alfalfae
vda	Verticillium dahliae
vag	Vibrio alginolyticus
van	Vibrio anguillarum 775
lag	Vibrio anguillarum M3
vau	Vibrio anguillarum NB10
vex	Vibrio antiquarius
vha	Vibrio campbellii
vca	Vibrio campbellii
vcz	Vibrio cholerae 10432-62
vcx	Vibrio cholerae 1154-74
vcq	Vibrio cholerae 2012EL-2176
vci	Vibrio cholerae IEC224
vcl	Vibrio cholerae LMA3984-4
vcm	Vibrio cholerae M66-2
vcj	Vibrio cholerae MJ-1236
vcs	Vibrio cholerae MS6
vce	Vibrio cholerae O1 2010EL-1786
vcf	Vibrio cholerae O1 biovar El Tor FJ147
vch	Vibrio cholerae O1 biovar El Tor N16961
vco	Vibrio cholerae O395
vcr	Vibrio cholerae O395
vct	Vibrio coralliilyticus OCN014
vcy	Vibrio coralliilyticus RE98
vfl	Vibrio fluvialis
vfu	Vibrio furnissii
vhr	Vibrio harveyi
vmi	Vibrio mimicus
vni	Vibrio nigripulchritudo
vpb	Vibrio parahaemolyticus BB22OP
vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557
vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31
vpa	Vibrio parahaemolyticus RIMD 2210633
vph	Vibrio parahaemolyticus UCM-V493
vej	Vibrio sp. EJY3
vsp	Vibrio tasmaniensis
vtu	Vibrio tubiashii
vvl	Vibrio vulnificus 93U204
vvu	Vibrio vulnificus CMCP6
vvm	Vibrio vulnificus MO6-24/O
vvy	Vibrio vulnificus YJ016
vra	Vigna radiata (mung bean)
vvi	Vitis vinifera (wine grape)
vcn	Volvox carteri f. nagariensis
wic	Wallemia ichthyophaga
wse	Wallemia mellicola
wbr	Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)
wgl	Wigglesworthia glossinidia morsitans (Glossina morsitans)
xal	Xanthomonas albilineans
xax	Xanthomonas axonopodis pv. citrumelo F1
xao	Xanthomonas axonopodis Xac29-1
xcb	Xanthomonas campestris pv. campestris 8004
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xca	Xanthomonas campestris pv. campestris B100
xcp	Xanthomonas campestris pv. raphani
xcv	Xanthomonas campestris pv. vesicatoria
xac	Xanthomonas citri pv. citri 306
xct	Xanthomonas citri subsp. citri A306
xci	Xanthomonas citri subsp. citri Aw12879
xcf	Xanthomonas citri subsp. citri mf20
xcw	Xanthomonas citri subsp. citri MN10
xcr	Xanthomonas citri subsp. citri MN11
xcm	Xanthomonas citri subsp. citri MN12
xcn	Xanthomonas citri subsp. citri NT17
xcj	Xanthomonas citri subsp. citri UI6
xcu	Xanthomonas citri subsp. citri UI7
xfu	Xanthomonas fuscans
xoo	Xanthomonas oryzae pv. oryzae KACC 10331
xom	Xanthomonas oryzae pv. oryzae MAFF 311018
xoy	Xanthomonas oryzae pv. oryzae PXO86
xop	Xanthomonas oryzae pv. oryzae PXO99A
xor	Xanthomonas oryzae pv. oryzicola BLS256
xoz	Xanthomonas oryzae pv. oryzicola CFBP7342
xsa	Xanthomonas sacchari
xtn	Xanthomonas translucens
xla	Xenopus laevis (African clawed frog)
xtr	Xenopus tropicalis (western clawed frog)
xbv	Xenorhabdus bovienii CS03
xbo	Xenorhabdus bovienii SS-2004
xdo	Xenorhabdus doucetiae
xnm	Xenorhabdus nematophila AN6/1
xne	Xenorhabdus nematophila ATCC 19061
xpo	Xenorhabdus poinarii
xma	Xiphophorus maculatus (southern platyfish)
xfa	Xylella fastidiosa 9a5c
xfm	Xylella fastidiosa M12
xfn	Xylella fastidiosa M23
xfl	Xylella fastidiosa MUL0034
xff	Xylella fastidiosa subsp. fastidiosa GB514
xfs	Xylella fastidiosa subsp. sandyi Ann-1
xft	Xylella fastidiosa Temecula1
yli	Yarrowia lipolytica
yal	Yersinia aldovae
yak	Yersinia aleksiciae
yee	Yersinia enterocolitica (type O:5) YE53/03
yet	Yersinia enterocolitica 2516-87
yef	Yersinia enterocolitica FORC_002
yel	Yersinia enterocolitica LC20
yen	Yersinia enterocolitica subsp. enterocolitica 8081
yep	Yersinia enterocolitica subsp. palearctica 105.5R(r)
yey	Yersinia enterocolitica subsp. palearctica Y11
yew	Yersinia enterocolitica WA
yfr	Yersinia frederiksenii
yin	Yersinia intermedia
ykr	Yersinia kristensenii
ypm	Yersinia pestis 91001 (biovar Microtus)
ypt	Yersinia pestis A1122
ypg	Yersinia pestis Angola
ypa	Yersinia pestis Antiqua (biovar Antiqua)
yph	Yersinia pestis biovar Medievalis Harbin 35
ype	Yersinia pestis CO92 (biovar Orientalis)
ypd	Yersinia pestis D106004
ypx	Yersinia pestis D182038
ypl	Yersinia pestis El Dorado
ypj	Yersinia pestis Harbin35
ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
ypn	Yersinia pestis Nepal516 (biovar Antiqua)
ypw	Yersinia pestis PBM19
ypp	Yersinia pestis Pestoides F
ypv	Yersinia pestis Shasta
ypz	Yersinia pestis Z176003
ypc	Yersinia pseudotuberculosis 1
ypq	Yersinia pseudotuberculosis ATCC 6904
ypr	Yersinia pseudotuberculosis EP2/+
ypo	Yersinia pseudotuberculosis IP 32953 (serotype 1)
ypi	Yersinia pseudotuberculosis IP31758 (serotype O:1b)
yps	Yersinia pseudotuberculosis IP32953 (serotype I)
ypu	Yersinia pseudotuberculosis MD67
ypf	Yersinia pseudotuberculosis PA3606
ypb	Yersinia pseudotuberculosis PB1/+
ypy	Yersinia pseudotuberculosis YPIII
yro	Yersinia rohdei
yrb	Yersinia ruckeri Big Creek 74
yru	Yersinia ruckeri YRB
ysi	Yersinia similis
zma	Zea mays (maize)
zro	Zygosaccharomyces rouxii
ztr	Zymoseptoria tritici
